objective1,objective2
3624.5790256137698,5433.9238396655965
3001.1348281709193,7120.648737402728
3067.2413099997834,6911.092780077108
3060.905654881444,6921.996867742644
3055.234738776872,6955.604997187598
3054.809976664363,6967.854499358023
3000.71006605841,7132.898239573153
3054.809976664363,6967.854499358023
3047.9518595760287,6986.076996119176
3060.905654881444,6921.996867742644
3060.905654881444,6921.996867742644
3047.9518595760287,6986.076996119176
3054.809976664363,6967.854499358023
3067.763771969778,6903.77437098149
3060.2036158321957,6942.681092136676
2927.338904298456,7297.514955551853
3067.2413099997834,6911.092780077108
3055.234738776872,6955.604997187598
3060.2036158321957,6942.681092136676
3068.188534082287,6891.524868811067
3127.574391230572,6679.339813427809
3001.1348281709193,7120.648737402728
2913.9712033408305,7548.110975115728
3000.71006605841,7132.898239573153
3622.1683656835357,5463.596777336473
3001.1348281709193,7120.648737402728
3068.188534082287,6891.524868811067
3140.528186535987,6615.259685051277
3624.5790256137698,5433.9238396655965
3439.0407772225294,5750.552305550609
3510.121402837857,5624.172957300521
3086.4282759300345,6780.303425266407
3086.4282759300345,6780.303425266407
3000.71006605841,7132.898239573153
3222.605996606574,6600.667685158596
3073.4744806246194,6844.383553642939
3622.1683656835357,5463.596777336473
3596.956407627131,5469.073439901218
3086.4282759300345,6780.303425266407
3429.8134914903085,5964.454769429814
3388.8584560836935,6050.552961478132
3563.984748258073,5500.141334626604
3073.4744806246194,6844.383553642939
3047.9518595760287,6986.076996119176
3127.574391230572,6679.339813427809
2913.9712033408305,7548.110975115728
3127.2573217435634,6713.557223545014
3179.403809609958,6602.406806948055
3429.8134914903085,5964.454769429814
3596.956407627131,5469.073439901218
3222.605996606574,6600.667685158596
3179.403809609958,6602.406806948055
3528.661159476903,5618.457974790269
2913.9712033408305,7548.110975115728
3274.43541498596,6523.734678678843
2927.338904298456,7297.514955551853
3222.605996606574,6600.667685158596
3633.1219573276917,5429.263783962651
3510.121402837857,5624.172957300521
3563.984748258073,5500.141334626604
3140.528186535987,6615.259685051277
3107.0155019668327,6733.794907091414
2893.370662907138,7703.419837325512
2926.9141421859463,7309.764457722276
2893.370662907138,7703.419837325512
3545.9187726577393,5578.032268810674
3726.687894052446,5331.978394276259
3429.8134914903085,5964.454769429814
2925.977774563742,7503.598758005238
3484.5858897632806,5716.781833919377
3388.8584560836935,6050.552961478132
3439.0407772225294,5750.552305550609
3666.0936166967495,5398.195889237266
3274.43541498596,6523.734678678843
3274.43541498596,6523.734678678843
3726.687894052446,5331.978394276259
3388.8584560836935,6050.552961478132
3876.0120372008846,5283.447753451242
2814.9234397021696,8517.827155392708
3876.0120372008846,5283.447753451242
2952.8615253470466,7155.821513075616
3086.4282759300345,6780.303425266407
3596.956407627131,5469.073439901218
3073.4744806246194,6844.383553642939
3001.1348281709193,7120.648737402728
3073.4744806246194,6844.383553642939
3876.0120372008846,5283.447753451242
3140.528186535987,6615.259685051277
3412.775523892031,6002.551451125315
2845.0973600832654,7738.5926129984
3000.71006605841,7132.898239573153
3006.9614359529996,6990.777772860486
3222.605996606574,6600.667685158596
3047.9518595760287,6986.076996119176
3067.763771969778,6903.77437098149
3086.4282759300345,6780.303425266407
3054.809976664363,6967.854499358023
3054.809976664363,6967.854499358023
3127.574391230572,6679.339813427809
3060.905654881444,6921.996867742644
