objective1,objective2
2859.979124248921,6472.334735062122
2877.034548635502,6263.884028989466
3326.3085472258203,5251.802046225502
2904.197073668863,6109.663357810348
3025.161844535835,5693.231251016579
2894.816653866763,6196.76544570973
2937.0683669388095,6025.748768928616
3102.5482088065073,5558.414031773836
3091.908974603201,5597.515690803707
2970.6577463885665,5860.586725385885
2921.979178900124,6042.544774530611
2812.230978842978,7882.545749853603
3490.670864088437,5238.738257210994
3326.3085472258203,5251.802046225502
2904.197073668863,6109.663357810348
3142.6223459648018,5488.563194775954
2970.6577463885665,5860.586725385885
2979.752291512259,5845.947566119244
3102.5482088065073,5558.414031773836
2931.8590999494104,6029.570755266816
2829.227799999197,7231.13632651686
3326.1655757422227,5303.631584100156
2824.0592850758585,7380.447351687255
3104.049601343661,5543.00361989043
2859.979124248921,6472.334735062122
2894.816653866763,6196.76544570973
2959.0216249827718,5875.350084087698
2904.197073668863,6109.663357810348
2970.6577463885665,5860.586725385885
3154.7629727052617,5434.051123862677
3142.6223459648018,5488.563194775954
3136.1301085291643,5502.9905572002235
2964.230891972171,5871.528097749499
2822.951517090168,7443.261156120234
2931.8590999494104,6029.570755266816
2964.230891972171,5871.528097749499
2919.7184732089504,6084.082826180093
2979.752291512259,5845.947566119244
2970.6577463885665,5860.586725385885
2937.0683669388095,6025.748768928616
3104.049601343661,5543.00361989043
3136.1301085291643,5502.9905572002235
2919.7184732089504,6084.082826180093
3154.7629727052617,5434.051123862677
3013.021217795375,5747.743321929856
3025.161844535835,5693.231251016579
2927.973821815118,6040.387928195259
3176.728583627859,5407.848802075439
2824.0592850758585,7380.447351687255
2822.951517090168,7443.261156120234
2904.197073668863,6109.663357810348
2919.7184732089504,6084.082826180093
2921.979178900124,6042.544774530611
2877.034548635502,6263.884028989466
2859.979124248921,6472.334735062122
2877.034548635502,6263.884028989466
3102.5482088065073,5558.414031773836
3091.908974603201,5597.515690803707
2904.197073668863,6109.663357810348
3046.603117518032,5692.319847356243
3176.728583627859,5407.848802075439
3046.603117518032,5692.319847356243
2946.8809982423118,5929.862155000975
3013.021217795375,5747.743321929856
2979.752291512259,5845.947566119244
3142.6223459648018,5488.563194775954
2959.0216249827718,5875.350084087698
3245.5766407533756,5323.816889579347
3223.6110298307785,5350.019211366584
2937.0683669388095,6025.748768928616
2900.8112967817565,6194.608599374377
3104.049601343661,5543.00361989043
2979.752291512259,5845.947566119244
2894.816653866763,6196.76544570973
3025.161844535835,5693.231251016579
3154.7629727052617,5434.051123862677
3136.1301085291643,5502.9905572002235
2946.8809982423118,5929.862155000975
2824.0592850758585,7380.447351687255
2829.227799999197,7231.13632651686
3091.908974603201,5597.515690803707
3013.021217795375,5747.743321929856
3176.728583627859,5407.848802075439
2822.951517090168,7443.261156120234
2815.093041054403,7673.350686088585
2815.093041054403,7673.350686088585
3223.6110298307785,5350.019211366584
2877.034548635502,6263.884028989466
3048.61433811106,5608.407963236436
2812.230978842978,7882.545749853603
2859.979124248921,6472.334735062122
3245.5766407533756,5323.816889579347
3326.1655757422227,5303.631584100156
2812.230978842978,7882.545749853603
3326.3085472258203,5251.802046225502
2829.227799999197,7231.13632651686
2834.1709658466007,6495.678993015706
3490.670864088437,5238.738257210994
2763.147986679116,8188.772811326578
3490.670864088437,5238.738257210994
