objective1,objective2
3879.636043757984,8515.652411427285
3648.899754415214,8606.925783920931
3306.3107600461913,11214.219513955919
3911.540969251156,8418.657283148661
3475.7011099014876,9438.535072155653
3334.023132505917,11182.35562272391
3440.4910942953325,9966.444303072863
3968.451327303605,7999.158214948496
3301.046121097648,11596.250238292345
3976.2205601769015,7704.972310531071
3926.1859968632475,8303.25396116904
3604.2894704139867,9208.152622864456
3946.489674417028,8094.857969274608
3458.3570999593408,9810.174850056648
3848.6407590203344,8532.958912844175
3339.583183793034,10473.518725766118
3516.761735034698,9370.998651394344
3431.427958493728,10088.446617241156
3861.5375622426145,8526.237747164001
3422.377183533355,10325.844550700445
3403.188410980102,10396.475585853015
3594.8792015436547,9284.083333050514
3792.9699568995925,8540.606278350968
3640.496343465126,8720.625355278265
3646.6355454011778,8684.483773516615
