objective1,objective2
4189.236646784325,8370.973696745305
4637.322734150344,7888.361504779042
4511.707971533445,8030.583251284033
3753.314294916512,9878.341232659588
3626.951560102257,10367.187408709964
3631.353690322522,9958.960677288906
3488.709603155735,11212.97210006161
3965.2931617311674,8744.023374783688
3391.85102485851,11777.373160232177
4505.592864142733,8074.365549795613
4674.8828924973,7847.287151539217
3514.1184905047858,10383.665891349252
4112.882921267951,8463.995001392752
3499.5885196367385,11104.728708987173
3946.9089452840494,9116.299020546356
4249.986887066616,8215.561627877047
3466.9085512807383,11282.057949653836
4271.890254721211,8187.304763895771
3447.1093218719266,11519.682660949047
4625.754293378021,7998.652724755834
4726.942033502708,7619.906229333405
3372.7882901939765,12852.268450212303
3413.8382001012865,11614.910567764793
4583.414231952803,8005.72011169696
4490.380445417721,8172.446626476696
4497.791294458111,8099.562168553119
3866.3655343656637,9441.173365752016
3914.532632801703,9320.828776773787
