objective1,objective2
3639.526712534287,10583.711222951071
3672.0572165229637,10512.040966343055
3377.818168115788,13006.023191557108
3402.709816982714,12528.997218535038
3486.1507242008724,11570.91990228547
4177.4532721840715,8238.098478525597
3979.3130431532477,8392.455968314678
3931.9167805822826,9155.905414879506
4193.549114531936,8210.627635494815
3742.3198253801393,10088.340584667452
3421.714602939506,11907.201613803725
3670.44916856769,10512.08861411711
3931.3552216617572,9227.860989843199
4430.7905869683445,7992.429304193446
3486.258088925679,11257.5710167871
3689.891275782205,10382.912212058802
3533.799253003544,10825.26488316479
3933.089873982858,8816.331754529187
3904.579823494336,9365.423667437184
3620.1685681776044,10672.037773382408
3411.7697740453277,12298.087318931934
3877.0438529375488,9366.431353293463
3931.3552216617572,9227.860989843199
3774.844247699114,9369.284574566527
4245.28540338228,8108.300981002117
