generation,min_fitness
1,45.78548460051
2,44.89656097244511
3,44.1305605656548
4,42.10543092278655
5,42.10543092278655
6,41.56035255632934
7,41.36107723562371
8,39.5464679870936
9,39.5464679870936
10,39.33147469749745
11,38.74636580311487
12,38.015316984711795
13,37.87531967725641
14,37.718259673764976
15,37.53472260589113
16,36.988394044334946
17,36.988394044334946
18,36.988394044334946
19,36.988394044334946
20,36.988394044334946
21,36.988394044334946
22,36.874109065684635
23,36.874109065684635
24,36.874109065684635
25,36.874109065684635
26,36.874109065684635
27,36.874109065684635
28,36.874109065684635
29,36.874109065684635
30,36.51011704282535
31,36.51011704282535
32,36.51011704282535
33,36.28950619403016
34,36.28950619403016
35,36.28950619403016
36,36.28950619403016
37,36.28950619403016
38,36.28950619403016
39,36.28950619403016
40,36.28950619403016
41,35.47646496144724
42,35.47646496144724
43,35.47646496144724
44,35.436855712335905
45,35.00369892991491
46,34.74200186342204
47,34.74200186342204
48,34.42955971986002
49,34.42955971986002
50,34.280702896260735
51,34.280702896260735
52,34.14233596758407
53,34.05410098155328
54,34.05410098155328
55,33.915734052876616
56,33.915734052876616
57,33.915734052876616
58,33.915734052876616
59,33.915734052876616
60,33.915734052876616
61,33.915734052876616
62,33.89154182905739
63,33.89154182905739
64,33.869189149874806
65,33.869189149874806
66,33.869189149874806
67,33.869189149874806
68,33.869189149874806
69,33.869189149874806
70,33.869189149874806
71,33.869189149874806
72,33.869189149874806
73,33.869189149874806
74,33.869189149874806
75,33.869189149874806
76,33.869189149874806
77,33.869189149874806
78,33.869189149874806
79,33.869189149874806
80,33.869189149874806
81,33.869189149874806
82,33.869189149874806
83,33.869189149874806
84,33.869189149874806
85,33.869189149874806
86,33.869189149874806
87,33.869189149874806
88,33.869189149874806
89,33.869189149874806
90,33.869189149874806
91,33.869189149874806
92,33.869189149874806
93,33.67392915239433
94,33.67392915239433
95,33.67392915239433
96,33.65149339319077
97,33.65149339319077
98,33.65149339319077
99,33.65149339319077
100,33.529897052166966
101,33.529897052166966
102,33.529897052166966
103,33.529897052166966
104,33.529897052166966
105,33.38652326619967
106,33.38652326619967
107,33.38652326619967
108,33.38652326619967
109,33.38652326619967
110,33.38652326619967
111,33.38652326619967
112,33.38652326619967
113,33.38652326619967
114,33.38652326619967
115,33.38652326619967
116,33.38652326619967
117,33.38652326619967
118,33.38652326619967
119,33.051662839892046
120,33.051662839892046
121,32.98916867792515
122,32.98916867792515
123,32.98916867792515
124,32.98916867792515
125,32.98916867792515
126,32.98916867792515
127,32.50048664296003
128,32.50048664296003
129,32.50048664296003
130,32.50048664296003
131,32.50048664296003
132,32.50048664296003
133,32.50048664296003
134,32.50048664296003
135,32.50048664296003
136,32.50048664296003
137,32.50048664296003
138,32.50048664296003
139,32.41885083966732
140,32.41885083966732
141,32.28868975313262
142,32.28868975313262
143,32.28868975313262
144,32.28868975313262
145,32.28868975313262
146,32.28868975313262
147,32.28868975313262
148,32.285317487235304
149,32.285317487235304
150,32.285317487235304
151,32.285317487235304
152,32.285317487235304
153,32.285317487235304
154,32.285317487235304
155,32.16025771874695
156,32.16025771874695
157,32.16025771874695
158,32.16025771874695
159,32.16025771874695
160,32.16025771874695
161,31.75161348419947
162,31.75161348419947
163,31.75161348419947
164,31.75161348419947
165,31.75161348419947
166,31.75161348419947
167,31.75161348419947
168,31.75161348419947
169,31.75161348419947
170,31.75161348419947
171,31.75161348419947
172,31.75161348419947
173,31.75161348419947
174,31.75161348419947
175,31.75161348419947
176,31.75161348419947
177,31.75161348419947
178,31.75161348419947
179,31.75161348419947
180,31.75161348419947
181,31.75161348419947
182,31.75161348419947
183,31.75161348419947
184,31.74087024097531
185,31.74087024097531
186,31.74087024097531
187,31.74087024097531
188,31.74087024097531
189,31.74087024097531
190,31.74087024097531
191,31.74087024097531
192,31.51917038998459
193,31.51917038998459
194,31.43192637743949
195,31.43192637743949
196,31.43192637743949
197,31.43192637743949
198,31.43192637743949
199,31.43192637743949
200,31.43192637743949
201,31.43192637743949
202,31.43192637743949
203,31.43192637743949
204,31.43192637743949
205,31.43192637743949
206,31.43192637743949
207,31.43192637743949
208,31.43192637743949
209,31.43192637743949
210,31.43192637743949
211,31.43192637743949
212,31.43192637743949
213,31.43192637743949
214,31.43192637743949
215,31.43192637743949
216,31.43192637743949
217,31.43192637743949
218,31.43192637743949
219,31.43192637743949
220,31.43192637743949
221,31.43192637743949
222,31.43192637743949
223,31.43192637743949
224,31.43192637743949
225,31.43192637743949
226,31.43192637743949
227,31.43192637743949
228,31.43192637743949
229,31.43192637743949
230,31.43192637743949
231,31.43192637743949
232,31.43192637743949
233,31.43192637743949
234,31.43192637743949
235,31.234999849913855
236,31.234999849913855
237,31.19144596046322
238,31.19144596046322
239,31.071897430217653
240,31.066220545518973
241,31.066220545518973
242,30.965557898045557
243,30.965557898045557
244,30.965557898045557
245,30.965557898045557
246,30.963198940567672
247,30.963198940567672
248,30.963198940567672
249,30.963198940567672
250,30.963198940567672
251,30.963198940567672
252,30.963198940567672
253,30.963198940567672
254,30.963198940567672
255,30.963198940567672
256,30.963198940567672
257,30.963198940567672
258,30.963198940567672
259,30.963198940567672
260,30.963198940567672
261,30.963198940567672
262,30.963198940567672
263,30.86780224643973
264,30.86780224643973
265,30.86780224643973
266,30.86780224643973
267,30.86780224643973
268,30.863844467244895
269,30.863844467244895
270,30.863844467244895
271,30.701149190594958
272,30.701149190594958
273,30.701149190594958
274,30.701149190594958
275,30.701149190594958
276,30.701149190594958
277,30.701149190594958
278,30.701149190594958
279,30.701149190594958
280,30.701149190594958
281,30.701149190594958
282,30.701149190594958
283,30.49026017507274
284,30.49026017507274
285,30.49026017507274
286,30.333747038127402
287,30.333747038127402
288,30.333747038127402
289,30.333747038127402
290,30.333747038127402
291,30.333747038127402
292,30.333747038127402
293,30.333747038127402
294,30.333747038127402
295,30.333747038127402
296,30.333747038127402
297,30.333747038127402
298,30.333747038127402
299,30.333747038127402
300,30.333747038127402
301,30.333747038127402
302,30.333747038127402
303,30.333747038127402
304,30.333747038127402
305,30.037138482116408
306,30.037138482116408
307,30.037138482116408
308,29.625560550306403
309,29.386179053286853
310,29.338141015009377
311,28.872409551792764
312,28.872409551792764
313,28.872409551792764
314,28.872409551792764
315,28.707420613239982
316,28.707420613239982
317,28.707420613239982
318,28.707420613239982
319,28.707420613239982
320,28.707420613239982
321,28.707420613239982
322,28.707420613239982
323,28.707420613239982
324,28.707420613239982
325,28.707420613239982
326,28.707420613239982
327,28.707420613239982
328,28.707420613239982
329,28.707420613239982
330,28.707420613239982
331,28.707420613239982
332,28.707420613239982
333,28.707420613239982
334,28.707420613239982
335,28.707420613239982
336,28.707420613239982
337,28.425226392379827
338,28.425226392379827
339,28.41141553645753
340,28.41141553645753
341,28.41141553645753
342,28.41141553645753
343,28.41141553645753
344,28.41141553645753
345,28.41141553645753
346,28.41141553645753
347,28.41141553645753
348,28.41141553645753
349,28.41141553645753
350,28.41141553645753
351,28.41141553645753
352,28.41141553645753
353,28.41141553645753
354,28.41141553645753
355,28.41141553645753
356,28.41141553645753
357,28.383082364583476
358,28.383082364583476
359,28.383082364583476
360,28.383082364583476
361,28.383082364583476
362,28.383082364583476
363,28.383082364583476
364,28.383082364583476
365,28.383082364583476
366,28.383082364583476
367,28.383082364583476
368,28.383082364583476
369,28.383082364583476
370,28.383082364583476
371,28.383082364583476
372,28.383082364583476
373,28.383082364583476
374,28.383082364583476
375,28.383082364583476
376,28.383082364583476
377,28.383082364583476
378,28.383082364583476
379,28.383082364583476
380,28.383082364583476
381,28.383082364583476
382,28.383082364583476
383,28.383082364583476
384,28.383082364583476
385,28.383082364583476
386,28.383082364583476
387,28.383082364583476
388,28.383082364583476
389,28.383082364583476
390,28.383082364583476
391,28.383082364583476
392,28.383082364583476
393,28.383082364583476
394,28.383082364583476
395,28.383082364583476
396,28.383082364583476
397,28.17149569754686
398,28.17149569754686
399,28.066377341889396
400,28.066377341889396
401,28.066377341889396
402,28.066377341889396
403,28.066377341889396
404,28.066377341889396
405,28.066377341889396
406,28.066377341889396
407,28.066377341889396
408,28.066377341889396
409,28.066377341889396
410,28.066377341889396
411,28.066377341889396
412,28.066377341889396
413,28.066377341889396
414,28.066377341889396
415,28.066377341889396
416,28.066377341889396
417,28.066377341889396
418,28.066377341889396
419,28.066377341889396
420,28.066377341889396
421,28.066377341889396
422,28.066377341889396
423,28.066377341889396
424,28.066377341889396
425,27.874061346130173
426,27.874061346130173
427,27.874061346130173
428,27.874061346130173
429,27.874061346130173
430,27.874061346130173
431,27.874061346130173
432,27.874061346130173
433,27.874061346130173
434,27.874061346130173
435,27.874061346130173
436,27.649834165389727
437,27.649834165389727
438,27.649834165389727
439,27.649834165389727
440,27.64581790487116
441,27.64581790487116
442,27.64581790487116
443,27.64581790487116
444,27.64581790487116
445,27.64581790487116
446,27.64581790487116
447,27.64581790487116
448,27.64581790487116
449,27.64581790487116
450,27.64581790487116
451,27.616236794278713
452,27.616236794278713
453,27.616236794278713
454,27.616236794278713
455,27.616236794278713
456,27.616236794278713
457,27.616236794278713
458,27.616236794278713
459,27.616236794278713
460,27.616236794278713
461,27.616236794278713
462,27.616236794278713
463,27.616236794278713
464,27.616236794278713
465,27.616236794278713
466,27.616236794278713
467,27.616236794278713
468,27.616236794278713
469,27.616236794278713
470,27.616236794278713
471,27.616236794278713
472,27.616236794278713
473,27.616236794278713
474,27.616236794278713
475,27.616236794278713
476,27.616236794278713
477,27.616236794278713
478,27.616236794278713
479,27.616236794278713
480,27.616236794278713
481,27.616236794278713
482,27.616236794278713
483,27.616236794278713
484,27.616236794278713
485,27.616236794278713
486,27.616236794278713
487,27.616236794278713
488,27.616236794278713
489,27.616236794278713
490,27.616236794278713
491,27.616236794278713
492,27.616236794278713
493,27.616236794278713
494,27.616236794278713
495,27.616236794278713
496,27.616236794278713
497,27.616236794278713
498,27.616236794278713
499,27.616236794278713
500,27.616236794278713
501,27.616236794278713
502,27.616236794278713
503,27.616236794278713
504,27.616236794278713
505,27.616236794278713
506,27.616236794278713
507,27.616236794278713
508,27.616236794278713
509,27.616236794278713
510,27.616236794278713
511,27.616236794278713
512,27.580517113454732
513,27.580517113454732
514,27.580517113454732
515,27.580517113454732
516,27.580517113454732
517,27.580517113454732
518,27.580517113454732
519,27.580517113454732
520,27.580517113454732
521,27.580517113454732
522,27.580517113454732
523,27.580517113454732
524,27.580517113454732
525,27.580517113454732
526,27.580517113454732
527,27.580517113454732
528,27.580517113454732
529,27.580517113454732
530,27.580517113454732
531,27.580517113454732
532,27.580517113454732
533,27.580517113454732
534,27.580517113454732
535,27.580517113454732
536,27.580517113454732
537,27.580517113454732
538,27.580517113454732
539,27.580517113454732
540,27.558477144338788
541,27.558477144338788
542,27.558477144338788
543,27.558477144338788
544,27.558477144338788
545,27.558477144338788
546,27.558477144338788
547,27.558477144338788
548,27.558477144338788
549,27.558477144338788
550,27.558477144338788
551,27.558477144338788
552,27.558477144338788
553,27.558477144338788
554,27.558477144338788
555,27.558477144338788
556,27.558477144338788
557,27.558477144338788
558,27.558477144338788
559,27.558477144338788
560,27.558477144338788
561,27.558477144338788
562,27.558477144338788
563,27.558477144338788
564,27.498172308273453
565,27.498172308273453
566,27.485242911120167
567,27.485242911120167
568,27.485242911120167
569,27.474883399402632
570,27.474883399402632
571,27.474883399402632
572,27.474883399402632
573,27.474883399402632
574,27.474883399402632
575,27.474883399402632
576,27.474883399402632
577,27.474883399402632
578,27.474883399402632
579,27.474883399402632
580,27.474883399402632
581,27.474883399402632
582,27.474883399402632
583,27.474883399402632
584,27.474883399402632
585,27.474883399402632
586,27.474883399402632
587,27.474883399402632
588,27.474883399402632
589,27.474883399402632
590,27.474883399402632
591,27.474883399402632
592,27.474883399402632
593,27.474883399402632
594,27.474883399402632
595,27.474883399402632
596,27.474883399402632
597,27.474883399402632
598,27.474883399402632
599,27.474883399402632
600,27.474883399402632
601,27.272015597805577
602,27.272015597805577
603,27.215980667389008
604,27.215980667389008
605,27.215980667389008
606,27.215980667389008
607,27.215980667389008
608,27.215980667389008
609,27.215980667389008
610,27.215980667389008
611,27.215980667389008
612,27.215980667389008
613,27.215980667389008
614,27.215980667389008
615,27.215980667389008
616,27.215980667389008
617,27.215980667389008
618,27.081516390155667
619,26.858514101436036
620,26.858514101436036
621,26.858514101436036
622,26.858514101436036
623,26.858514101436036
624,26.858514101436036
625,26.858514101436036
626,26.858514101436036
627,26.858514101436036
628,26.858514101436036
629,26.858514101436036
630,26.858514101436036
631,26.858514101436036
632,26.858514101436036
633,26.858514101436036
634,26.858514101436036
635,26.858514101436036
636,26.858514101436036
637,26.858514101436036
638,26.858514101436036
639,26.858514101436036
640,26.858514101436036
641,26.858514101436036
642,26.858514101436036
643,26.858514101436036
644,26.858514101436036
645,26.858514101436036
646,26.858514101436036
647,26.858514101436036
648,26.858514101436036
649,26.858514101436036
650,26.858514101436036
651,26.858514101436036
652,26.858514101436036
653,26.858514101436036
654,26.858514101436036
655,26.858514101436036
656,26.858514101436036
657,26.81975515000854
658,26.81975515000854
659,26.81975515000854
660,26.81975515000854
661,26.81975515000854
662,26.81975515000854
663,26.81975515000854
664,26.81975515000854
665,26.81975515000854
666,26.81975515000854
667,26.81975515000854
668,26.81975515000854
669,26.81975515000854
670,26.81975515000854
671,26.81975515000854
672,26.81975515000854
673,26.81975515000854
674,26.722035398510965
675,26.722035398510965
676,26.722035398510965
677,26.722035398510965
678,26.722035398510965
679,26.722035398510965
680,26.722035398510965
681,26.722035398510965
682,26.722035398510965
683,26.722035398510965
684,26.722035398510965
685,26.722035398510965
686,26.722035398510965
687,26.722035398510965
688,26.722035398510965
689,26.722035398510965
690,26.722035398510965
691,26.722035398510965
692,26.722035398510965
693,26.722035398510965
694,26.722035398510965
695,26.722035398510965
696,26.722035398510965
697,26.722035398510965
698,26.722035398510965
699,26.722035398510965
700,26.722035398510965
701,26.722035398510965
702,26.722035398510965
703,26.722035398510965
704,26.722035398510965
705,26.722035398510965
706,26.722035398510965
707,26.722035398510965
708,26.722035398510965
709,26.722035398510965
710,26.722035398510965
711,26.722035398510965
712,26.722035398510965
713,26.722035398510965
714,26.722035398510965
715,26.722035398510965
716,26.722035398510965
717,26.722035398510965
718,26.722035398510965
719,26.57571568989476
720,26.57571568989476
721,26.57571568989476
722,26.57571568989476
723,26.57571568989476
724,26.57571568989476
725,26.57571568989476
726,26.57571568989476
727,26.57571568989476
728,26.57571568989476
729,26.57571568989476
730,26.57571568989476
731,26.57571568989476
732,26.57571568989476
733,26.57571568989476
734,26.57571568989476
735,26.57571568989476
736,26.57571568989476
737,26.57571568989476
738,26.57571568989476
739,26.57571568989476
740,26.57571568989476
741,26.57571568989476
742,26.57571568989476
743,26.57571568989476
744,26.57571568989476
745,26.57571568989476
746,26.57571568989476
747,26.57571568989476
748,26.57571568989476
749,26.57571568989476
750,26.57571568989476
751,26.57571568989476
752,26.57571568989476
753,26.57571568989476
754,26.57571568989476
755,26.57571568989476
756,26.57571568989476
757,26.57571568989476
758,26.57571568989476
759,26.57571568989476
760,26.57571568989476
761,26.57571568989476
762,26.57571568989476
763,26.57571568989476
764,26.57571568989476
765,26.57571568989476
766,26.57571568989476
767,26.57571568989476
768,26.57571568989476
769,26.57571568989476
770,26.57571568989476
771,26.53881156218359
772,26.53881156218359
773,26.53881156218359
774,26.53881156218359
775,26.53881156218359
776,26.53881156218359
777,26.53881156218359
778,26.53881156218359
779,26.53881156218359
780,26.53881156218359
781,26.53881156218359
782,26.53881156218359
783,26.53881156218359
784,26.53881156218359
785,26.53881156218359
786,26.53881156218359
787,26.53881156218359
788,26.53881156218359
789,26.53881156218359
790,26.53881156218359
791,26.53881156218359
792,26.53881156218359
793,26.53881156218359
794,26.53881156218359
795,26.53881156218359
796,26.53881156218359
797,26.53881156218359
798,26.53881156218359
799,26.53881156218359
800,26.53881156218359
801,26.53881156218359
802,26.53881156218359
803,26.53881156218359
804,26.53881156218359
805,26.52837333912881
806,26.52837333912881
807,26.52837333912881
808,26.52837333912881
809,26.52837333912881
810,26.52837333912881
811,26.52837333912881
812,26.52837333912881
813,26.52837333912881
814,26.52837333912881
815,26.52837333912881
816,26.52837333912881
817,26.52837333912881
818,26.52837333912881
819,26.52837333912881
820,26.52837333912881
821,26.52837333912881
822,26.52837333912881
823,26.52837333912881
824,26.52837333912881
825,26.52837333912881
826,26.52837333912881
827,26.52837333912881
828,26.52837333912881
829,26.52837333912881
830,26.52837333912881
831,26.52837333912881
832,26.52837333912881
833,26.52837333912881
834,26.52837333912881
835,26.52837333912881
836,26.52837333912881
837,26.52837333912881
838,26.52837333912881
839,26.52837333912881
840,26.52837333912881
841,26.52837333912881
842,26.52837333912881
843,26.52837333912881
844,26.52837333912881
845,26.52837333912881
846,26.52837333912881
847,26.52837333912881
848,26.52837333912881
849,26.52837333912881
850,26.52837333912881
851,26.52837333912881
852,26.52837333912881
853,26.52837333912881
854,26.52837333912881
855,26.52837333912881
856,26.52837333912881
857,26.52837333912881
858,26.52837333912881
859,26.52837333912881
860,26.52837333912881
861,26.52837333912881
862,26.52837333912881
863,26.52837333912881
864,26.52837333912881
865,26.52837333912881
866,26.52837333912881
867,26.52837333912881
868,26.52837333912881
869,26.52837333912881
870,26.52837333912881
871,26.52837333912881
872,26.52837333912881
873,26.52837333912881
874,26.52837333912881
875,26.52837333912881
876,26.52837333912881
877,26.52837333912881
878,26.52837333912881
879,26.52837333912881
880,26.52837333912881
881,26.52837333912881
882,26.52837333912881
883,26.52837333912881
884,26.52837333912881
885,26.52837333912881
886,26.52837333912881
887,26.52837333912881
888,26.52837333912881
889,26.52837333912881
890,26.52837333912881
891,26.52837333912881
892,26.52837333912881
893,26.52837333912881
894,26.52837333912881
895,26.52837333912881
896,26.52837333912881
897,26.51676675182674
898,26.51676675182674
899,26.51676675182674
900,26.51676675182674
901,26.51676675182674
902,26.51676675182674
903,26.51676675182674
904,26.51676675182674
905,26.51676675182674
906,26.51676675182674
907,26.51676675182674
908,26.51676675182674
909,26.51676675182674
910,26.51676675182674
911,26.470846226537358
912,26.470846226537358
913,26.470846226537358
914,26.470846226537358
915,26.470846226537358
916,26.470846226537358
917,26.470846226537358
918,26.470846226537358
919,26.470846226537358
920,26.470846226537358
921,26.470846226537358
922,26.470846226537358
923,26.470846226537358
924,26.470846226537358
925,26.470846226537358
926,26.470846226537358
927,26.470846226537358
928,26.470846226537358
929,26.470846226537358
930,26.470846226537358
931,26.470846226537358
932,26.470846226537358
933,26.470846226537358
934,26.470846226537358
935,26.470846226537358
936,26.470846226537358
937,26.470846226537358
938,26.470846226537358
939,26.470846226537358
940,26.470846226537358
941,26.470846226537358
942,26.470846226537358
943,26.470846226537358
944,26.470846226537358
945,26.470846226537358
946,26.470846226537358
947,26.470846226537358
948,26.470846226537358
949,26.470846226537358
950,26.470846226537358
951,26.470846226537358
952,26.470846226537358
953,26.470846226537358
954,26.470846226537358
955,26.470846226537358
956,26.470846226537358
957,26.470846226537358
958,26.470846226537358
959,26.470846226537358
960,26.470846226537358
961,26.470846226537358
962,26.470846226537358
963,26.470846226537358
964,26.470846226537358
965,26.470846226537358
966,26.470846226537358
967,26.470846226537358
968,26.470846226537358
969,26.470846226537358
970,26.470846226537358
971,26.470846226537358
972,26.470846226537358
